"subid"	"verb"	"noun"	"dir"	"big"	"small"
"181"	"anon-170.json"	"are"	"baby"	"na"	2	4
"182"	"anon-170.json"	"are"	"balloon"	"na"	2	3
"183"	"anon-170.json"	"are"	"bunny"	"na"	2	3
"184"	"anon-170.json"	"are"	"cake"	"na"	2	4
"185"	"anon-170.json"	"are"	"duckling"	"na"	3	3
"186"	"anon-170.json"	"are"	"elephant"	"na"	3	4
"187"	"anon-170.json"	"are"	"gnome"	"na"	3	3
"188"	"anon-170.json"	"are"	"hippo"	"na"	3	3
"189"	"anon-170.json"	"are"	"house"	"na"	3	3
"190"	"anon-170.json"	"are"	"monkey"	"na"	3	3
"191"	"anon-170.json"	"are"	"plane"	"na"	2	4
"192"	"anon-170.json"	"are"	"umbrella"	"na"	3	4
"193"	"anon-174.json"	"are"	"baby"	"na"	3	2
"194"	"anon-174.json"	"are"	"balloon"	"na"	3	1
"195"	"anon-174.json"	"are"	"bunny"	"na"	3	2
"196"	"anon-174.json"	"are"	"cake"	"na"	2	3
"197"	"anon-174.json"	"are"	"duckling"	"na"	2	2
"198"	"anon-174.json"	"are"	"elephant"	"na"	4	2
"199"	"anon-174.json"	"are"	"gnome"	"na"	2	2
"200"	"anon-174.json"	"are"	"hippo"	"na"	2	2
"201"	"anon-174.json"	"are"	"house"	"na"	2	2
"202"	"anon-174.json"	"are"	"monkey"	"na"	1	2
"203"	"anon-174.json"	"are"	"plane"	"na"	3	2
"204"	"anon-174.json"	"are"	"umbrella"	"na"	1	3
"205"	"anon-179.json"	"are"	"baby"	"na"	2	2
"206"	"anon-179.json"	"are"	"balloon"	"na"	3	2
"207"	"anon-179.json"	"are"	"bunny"	"na"	2	2
"208"	"anon-179.json"	"are"	"cake"	"na"	2	2
"209"	"anon-179.json"	"are"	"duckling"	"na"	2	2
"210"	"anon-179.json"	"are"	"elephant"	"na"	3	3
"211"	"anon-179.json"	"are"	"gnome"	"na"	2	2
"212"	"anon-179.json"	"are"	"hippo"	"na"	3	2
"213"	"anon-179.json"	"are"	"house"	"na"	2	3
"214"	"anon-179.json"	"are"	"monkey"	"na"	2	2
"215"	"anon-179.json"	"are"	"plane"	"na"	2	2
"216"	"anon-179.json"	"are"	"umbrella"	"na"	2	2
"217"	"anon-180.json"	"are"	"baby"	"na"	3	3
"218"	"anon-180.json"	"are"	"balloon"	"na"	3	3
"219"	"anon-180.json"	"are"	"bunny"	"na"	3	3
"220"	"anon-180.json"	"are"	"cake"	"na"	3	3
"221"	"anon-180.json"	"are"	"duckling"	"na"	3	3
"222"	"anon-180.json"	"are"	"elephant"	"na"	3	3
"223"	"anon-180.json"	"are"	"gnome"	"na"	2	4
"224"	"anon-180.json"	"are"	"hippo"	"na"	2	2
"225"	"anon-180.json"	"are"	"house"	"na"	2	3
"226"	"anon-180.json"	"are"	"monkey"	"na"	2	3
"227"	"anon-180.json"	"are"	"plane"	"na"	3	4
"228"	"anon-180.json"	"are"	"umbrella"	"na"	3	3
"229"	"anon-187.json"	"are"	"baby"	"na"	1	1
"230"	"anon-187.json"	"are"	"balloon"	"na"	2	2
"231"	"anon-187.json"	"are"	"bunny"	"na"	1	1
"232"	"anon-187.json"	"are"	"cake"	"na"	2	2
"233"	"anon-187.json"	"are"	"duckling"	"na"	1	1
"234"	"anon-187.json"	"are"	"elephant"	"na"	2	1
"235"	"anon-187.json"	"are"	"gnome"	"na"	1	1
"236"	"anon-187.json"	"are"	"hippo"	"na"	2	1
"237"	"anon-187.json"	"are"	"house"	"na"	1	1
