"subid"	"verb"	"noun"	"dir"	"big"	"small"
"208"	"anon-148.json"	"are"	"candy"	"na"	5	1
"209"	"anon-148.json"	"are"	"earring"	"na"	4	2
"210"	"anon-148.json"	"are"	"fly"	"na"	5	2
"211"	"anon-148.json"	"are"	"hazelnut"	"na"	5	1
"212"	"anon-148.json"	"are"	"ladybug"	"na"	5	1
"213"	"anon-148.json"	"are"	"pill"	"na"	NA	1
"214"	"anon-148.json"	"are"	"pin"	"na"	5	1
"215"	"anon-148.json"	"are"	"seed"	"na"	4	2
"216"	"anon-148.json"	"are"	"tack"	"na"	6	1
"217"	"anon-15.json"	"are"	"ant"	"na"	4	2
"218"	"anon-15.json"	"are"	"bean"	"na"	3	2
"219"	"anon-15.json"	"are"	"blueberry"	"na"	3	2
"220"	"anon-15.json"	"are"	"candy"	"na"	3	2
"221"	"anon-15.json"	"are"	"earring"	"na"	3	2
"222"	"anon-15.json"	"are"	"fly"	"na"	3	2
"223"	"anon-15.json"	"are"	"hazelnut"	"na"	4	3
"224"	"anon-15.json"	"are"	"ladybug"	"na"	4	3
"225"	"anon-15.json"	"are"	"pill"	"na"	4	2
"226"	"anon-15.json"	"are"	"pin"	"na"	4	2
"227"	"anon-15.json"	"are"	"seed"	"na"	4	3
"228"	"anon-15.json"	"are"	"tack"	"na"	4	2
"229"	"anon-150.json"	"are"	"ant"	"na"	4	3
"230"	"anon-150.json"	"are"	"bean"	"na"	3	3
"231"	"anon-150.json"	"are"	"blueberry"	"na"	4	2
"232"	"anon-150.json"	"are"	"candy"	"na"	4	2
"233"	"anon-150.json"	"are"	"earring"	"na"	3	3
"234"	"anon-150.json"	"are"	"fly"	"na"	4	2
"235"	"anon-150.json"	"are"	"hazelnut"	"na"	4	3
"236"	"anon-150.json"	"are"	"ladybug"	"na"	4	3
"237"	"anon-150.json"	"are"	"pill"	"na"	4	2
"238"	"anon-150.json"	"are"	"pin"	"na"	5	2
"239"	"anon-150.json"	"are"	"seed"	"na"	4	3
"240"	"anon-150.json"	"are"	"tack"	"na"	4	3
"241"	"anon-151.json"	"are"	"ant"	"na"	2	2
"242"	"anon-151.json"	"are"	"bean"	"na"	2	2
